source,target,label,weight
"('food', 'noun')","('nutrient', 'noun')",has_effect_on,0.720353364944458
"('nutrient', 'noun')","('body', 'noun')",has_effect_on,0.777169102399202
"('nutrient', 'noun')","('role', 'noun')",has_effect_on,0.777169102399202
"('nutrient', 'noun')","('system', 'noun')",has_effect_on,0.777169102399202
"('liver', 'noun')","('food', 'noun')",has_effect_on,0.7519038915634155
"('liver', 'noun')","('bile', 'noun')",has_effect_on,0.8737627481158764
"('liver', 'noun')","('intestine', 'noun')",has_effect_on,1.0
"('liver', 'noun')","('protein', 'noun')",has_effect_on,0.7558510303497314
"('liver', 'noun')","('digestion', 'noun')",has_effect_on,1.0
"('liver', 'noun')","('absorption', 'noun')",has_effect_on,1.0
"('liver', 'noun')","('gallbladder', 'noun')",has_effect_on,1.0
"('liver', 'noun')","('vitamin', 'noun')",has_effect_on,1.0
"('liver', 'noun')","('fat', 'noun')",has_effect_on,1.0
"('liver', 'noun')","('cholesterol', 'noun')",has_effect_on,0.9496995806694031
"('liver', 'noun')","('blood', 'noun')",has_effect_on,0.8308852910995483
"('liver', 'noun')","('homeostasis', 'noun')",has_effect_on,0.9117028713226318
"('liver', 'noun')","('hormone', 'noun')",has_effect_on,0.7734026908874512
"('liver', 'noun')","('system', 'noun')",has_effect_on,0.7832054495811462
"('liver', 'noun')","('excretion', 'noun')",has_effect_on,0.971595048904419
"('liver', 'noun')","('alcohol', 'noun')",has_effect_on,0.7812302112579346
"('liver', 'noun')","('waste', 'noun')",has_effect_on,0.8633608222007751
"('liver', 'noun')","('coagulation', 'noun')",has_effect_on,0.8536190986633301
"('liver', 'noun')","('storage', 'noun')",has_effect_on,0.7973788976669312
"('bile', 'noun')","('intestine', 'noun')",has_effect_on,1.0
"('bile', 'noun')","('vitamin', 'noun')",has_effect_on,1.0
"('bile', 'noun')","('absorption', 'noun')",has_effect_on,1.0
"('bile', 'noun')","('fat', 'noun')",has_effect_on,1.0
"('bile', 'noun')","('digestion', 'noun')",has_effect_on,1.0
"('bile', 'noun')","('body', 'noun')",has_effect_on,0.9561903562587779
"('bile', 'noun')","('role', 'noun')",has_effect_on,0.9561903562587779
"('bile', 'noun')","('system', 'noun')",has_effect_on,0.9561903562587779
"('bile', 'noun')","('liver', 'noun')",has_effect_on,0.9682784652592332
"('intestine', 'noun')","('liver', 'noun')",has_effect_on,0.7784761129784128
"('intestine', 'noun')","('fluid', 'noun')",has_effect_on,0.7979556896970901
"('intestine', 'noun')","('fat', 'noun')",has_effect_on,1.0
"('intestine', 'noun')","('digestion', 'noun')",has_effect_on,1.0
"('intestine', 'noun')","('absorption', 'noun')",has_effect_on,1.0
"('intestine', 'noun')","('gallbladder', 'noun')",has_effect_on,1.0
"('intestine', 'noun')","('vitamin', 'noun')",has_effect_on,1.0
"('intestine', 'noun')","('bile', 'noun')",has_effect_on,0.9619830007616336
"('protein', 'noun')","('body', 'noun')",has_effect_on,1.0
"('protein', 'noun')","('role', 'noun')",has_effect_on,1.0
"('protein', 'noun')","('system', 'noun')",has_effect_on,1.0
"('protein', 'noun')","('liver', 'noun')",has_effect_on,1.0
"('protein', 'noun')","('fibrinogen', 'noun')",has_effect_on,0.8628592929775187
"('protein', 'noun')","('vii', 'noun')",has_effect_on,0.8628592929775187
